"REF_DATE","GEO","DGUID","Air conditioners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","St. Catharines-Niagara, Ontario","2011S0503539","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709698","30.2","75","","","","0"
"2013","St. Catharines-Niagara, Ontario","2011S0503539","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709699","30.3","83","","","","0"
"2013","St. Catharines-Niagara, Ontario","2011S0503539","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709700","30.4","16","E","","","0"
"2013","St. Catharines-Niagara, Ontario","2011S0503539","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709701","30.5","17","E","","","0"
"2013","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709702","31.1","79","","","","0"
"2013","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709703","31.2","69","","","","0"
"2013","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709704","31.3","88","","","","0"
"2013","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709705","31.4","9","E","","","0"
"2013","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709706","31.5","12","E","","","0"
"2013","Brantford, Ontario","2011S0503543","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709707","32.1","85","","","","0"
"2013","Brantford, Ontario","2011S0503543","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709708","32.2","75","","","","0"
"2013","Brantford, Ontario","2011S0503543","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709709","32.3","88","","","","0"
"2013","Brantford, Ontario","2011S0503543","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709710","32.4","10","E","","","0"
"2013","Brantford, Ontario","2011S0503543","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709711","32.5","12","E","","","0"
"2013","Guelph, Ontario","2011S0503550","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709712","33.1","85","","","","0"
"2013","Guelph, Ontario","2011S0503550","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709713","33.2","74","","","","0"
"2013","Guelph, Ontario","2011S0503550","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709714","33.3","87","","","","0"
"2013","Guelph, Ontario","2011S0503550","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709715","33.4","13","E","","","0"
"2013","Guelph, Ontario","2011S0503550","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709716","33.5","15","E","","","0"
"2013","London, Ontario","2011S0503555","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709717","34.1","89","","","","0"
"2013","London, Ontario","2011S0503555","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709718","34.2","70","","","","0"
"2013","London, Ontario","2011S0503555","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709719","34.3","78","","","","0"
"2013","London, Ontario","2011S0503555","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709720","34.4","21","E","","","0"
"2013","London, Ontario","2011S0503555","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709721","34.5","23","E","","","0"
"2013","Windsor, Ontario","2011S0503559","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709722","35.1","96","","","","0"
"2013","Windsor, Ontario","2011S0503559","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709723","35.2","79","","","","0"
"2013","Windsor, Ontario","2011S0503559","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709724","35.3","82","","","","0"
"2013","Windsor, Ontario","2011S0503559","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709725","35.4","","F","","","0"
"2013","Windsor, Ontario","2011S0503559","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709726","35.5","","F","","","0"
"2013","Barrie, Ontario","2011S0503568","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709727","36.1","79","","","","0"
"2013","Barrie, Ontario","2011S0503568","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709728","36.2","71","","","","0"
